,post_text,reply_text
0,"""I'm starting to do some end-of-the-year prep for 2022 taxes and figured the annual TurboTax """"deal"""" thread was coming due soon. (Not the Fido Free TurboTax one!)  If you are looking for a deal on TurboTax", 2022 ($34.98 before tax) $32.38 - December 29
1,"""I'm 52 and about to retire.  Should I get long term care insurance?  On the one hand, getting insurance for a big expense makes sense, and long term care can be a big expense.  On the other hand, LTC insurance seems like a relatively new kind of insurance.  I hear many insurance companies left the market since the payouts seemed to be higher than expected, so they were losing money.  Then the regulators allowed companies to raise rates -- a lot.  Going forward, who knows what will happen.  Also, there are apparently lots of terms and conditions.  It may not cover the first N months of stay, but that might be from when you notify the company of wanting to use the benefits, not when you first enter long term care.  Also, new types of care that may become popular, even standard, after your insurance contract was written, may not be covered.  I believe there were cases of this in the past, for """"memory floors"""" of LTC if I recall correctly.  So all of this can get confusing", it won't be me sorting all this out
2,"""A response to the thread about a gentleman's elderly mother running out of money got me thinking about this.  If you have no children and no close family, how are you thinking about and planning for end-of-life?  That is the boat my husband and I are in - no children, no close family.  My husband is a very super-active, still happily working and (thank God!) healthy 75. I am 61.  I have been asking for years how people are thinking about this likely reality but most either have kids who will/will have to take over. One woman we know is depending on her niece -- even tho' she and her niece aren't particularly close and the niece lives 3 states away! (Amazes me to hear that people really think their relatives can or will just drop everything in their own lives to step in to help! That's the head-in-the-sand plan, I guess!)  One man told me we should set up a relationship with the trust department of a major bank. Are those folks who could literally take care of everything? He told me to stay away from the small elder law firms because our """"contact"""" there could die before we do. (Which"," I would think.)  Any advice would be most sincerely appreciated! Ask questions if more info is needed! Many thanks!"""
3,"""My son's a HS junior in Illinois, definitely chosen CS as his college major, good student but probably not competitive to get into the tippy-top CS programs (3.7 unweighted GPA, albeit it with 9 AP/dual enrollment courses so far; 35 ACT; a couple decent math extracurriculars).   We've been very upfront with him, since freshman year or before, that we'll have in the neighborhood of $150,000-$160,000 for him to go to college -- basically using the projected cost for an engineering degree at UIUC as our guideline. And we've made very clear that we aren't signing any Parent Plus loans for him and that we'd discourage him from getting the federal loans as well (although ultimately that's his decision). We've had friends who have had problems when they didn't set up financial expectations early with their kids, so we really made an effort to do that with him.  UIUC's a great CS school, and for a time we were assuming that's where he'd end up. But then I heard that the straight CS admission rate for UIUC is in the single digits, and then his school counselor showed us (anonymized, only weighted GPAs and ACT/SAT) the results from his HS for the 2020-21 class for UIUC CS and it was...disheartening. (She said that 2021-22 was even worse, but she didn't have the results compiled yet.)     Anyway, so he and I are trying to come up with some other CS colleges that might be good options for him to apply to that are around $40k a year (and ideally lower). Here are a few that we have:  * Purdue, a little above $40k a year, but heard from the counselor that our CS results from there this year were """"disappointing"""" * Utah", automatic scholarships gets it down to about $25k/year * Illinois-Chicago
4,"""Update (09/06/2022) -- house officially sold for $446,500.  My wife and I just sold our house for $451,500.  The purchase was contingent on the inspection.  We just got the inspection report back and the buyers want a $5,000 credit to fix the floors on the first floor.  I am somewhat taken aback by this for two reasons:  1. The issues with the flooring are glaringly obvious. There are gaps in the vinyl plank flooring probably an inch wide in several areas. I don't know how anybody could look at the house and not see that, and not make that part of their calculation in making an offer. To me an inspection contingency is for things the average buyer does not see -- leaking faucets, electrical, plumbing, etc.  2. We discussed the flooring issue with our realtor *very* thoroughly before listing, because we knew it was an issue. We went through comps and thought we could list for $469,000 and give a credit for floors, or we could list for $459,000 as the straight up price.  I ended up listing for $459,000, and my thought was that this was a fair price given the flooring issue.  This all feels like a last minute shakedown to me to get $5,000 off at the last minute.   The awful thing is that I don't think we can afford to have these buyers back out of the deal. Listing a house with a 3YO and 1YO is awful, and $5,000 is basically two months of operating expenses for the house ($1,500 mortgage, taxes, insurance, etc.). So, it would be a huge gamble to walk over this.  My main question is this -- is something like this negotiable? If I come back and say """"we will do a $2", but $5
5,"""Hi all,     California recently included this """"Middle Class Tax Refund"""" in their newly passed state budget.  Details are at this website -   https://www.ftb.ca.gov/about-ftb/newsro ... anner_MCTR      They are using the 2020 tax year for income thresholds and dependent information.  It also appears they are paying these amounts directly (like prior federal COVID bills) to CA tax payers either through direct deposit or mailed debit card starting October 2022 through January 2023.      For the 2020 CA tax year (filed in 2021)", do you believe it is likely we would have a debit card mailed to the wrong address? Or does it matter that CA has the correct information since it is in their system from 2021?  We've been in our new home now for almost 2 years but I figured I should place a mail forwarding on my old address just in case - thought I'd get the forums' thoughts as well.     Thanks everyone
6,"""Last year, I sort of FOMO'd into buying my dream car (Honda S2000) which I purchased for $40k cash. At the time, that was the majority of my cash in savings and while I cringed at the thought of rebuilding my emergency funds over the next 6-12 months, the pain was overshadowed by how happy and proud of myself that I was able to save up & finally own it.  Fast-forward to today, the car currently sits at my parent's garage where it only occasionally gets driven on nice weather days (last year, I only drove it 2k miles). I don't own a house at the moment and instead live in a 1 bedroom apartment with my s/o. For daily driving, I drive an old Camry with 150k+ miles on it 2 to 3 times a week as I have a hybrid WFH schedule.  My inner dilemma is: While the car still makes me happy whenever I do get the chance to drive it, the frugal part of me sometimes wishes I had bought a bit cheaper, less nice of an example so that I wouldn't feel so irresponsible/guity about having such a large amount tied up in what is essentially a 100% luxury purchase. Sometimes I end up laying in bed thinking about how I """"should"""" have bought a house first before a nice car / could have saved that money for said down payment on a house (even though I have no intentions/thoughts of purchasing a home yet)", which if I'm being honest makes me have second thoughts about my ownership of the car even though I still love it.  I guess my question is: Should I take comfort in my current financial situation (details below) and just enjoy having my impractical dream car for a while
7,"""I came across this article from 2014 titled """"Why no one should use brokerage accounts"""":  https://www.pbs.org/newshour/nation/one ... e-accounts  At least at the time of this article", from what I understood from the example in the article
8,"""Just thinking about a """"can I afford this house"""" kind of thread  Say I want to buy a house for $2M. The downpayment", where expenses include projected rent. Annually we save about 1.8x expenses per year. Let's say savings are $340k/year and target retirement expenses are $185k including renting in perpetuity.  Taking on a mortgage of the size required for the house
9,"""Please forgive the lengthy context here but I think it could help.   Situation: late 30's, married, two kids (3 y/o and <1 yr), VHCOL area of California. I have a white-collar job earning $175k and wife is the director of an emergency room earning about $350k on a 1099. Net worth is about $5M, but most is illiquid (house equity, retirement accounts, private equity). Despite the decent income, our budget is tight: taxes are $127k, housing $110k, and savings $136k leaves $80k for childcare and $75k for everything else.   I was feeling burned out after our first child but it's gotten much worse this year with the second. My MIL generously offered to give us 6 months of free live-in childcare after second was born, but three weeks in got seriously ill, and ended up consuming lots of my wife's time to provide and arrange care, and caught us without any childcare. We have no family or friends in town who can help with the kids. We luckily got the older kid into a daycare quickly ($2200/mo) and now have two nannies ($22/hr, one close to full-time, one part-time) but it still doesn't feel like enough. Today, nanny called in sick, because our kid brought home a cold from daycare and gave it to everyone else and the nanny. Second nanny was unavailable, so my wife had to do her day's meetings with a fussing baby, and I had to leave work 5 hours early, which was a big stress and meant I didn't get some things done. This type of thing happens regularly.   Childcare is only part of the problem. The workload from the kids ripples through all areas of life. Just one example: the kitchen. When childless I never minded doing dishes. Even a full cleaning after a big meal only took ~15 minutes with my wife's help, and it felt rewarding to get it done. Now, every meal there is a giant mess with food all over the table, high chairs, and the floor. The house rule is that all non-metal/ceramic dishes must be hand-scrubbed (rather than go into the dishwasher), and this includes two sets of kids' placemats, plates, utensils, sippy cups, and bibs, after every meal (plus the kids themselves). It's about a 30 minute cleanup, 3 times a day, every day. Typically, we do not keep our nanny here through dinner, so usually after dinner my wife and I each put one kid to bed and clean the kitchen afterward. Some nights I have been brought to tears, walking into the kitchen at 9:30pm after fighting to get our older one to bed and seeing a huge mess waiting for me. There have been similar impacts to other areas of life too.   My wife also works lots of nights and weekends. Last weekend she worked all day both days. We had a nanny both days for part of the day, but she can't watch both kids when she's putting the younger down for a nap, so I only got about one hour off each day. Nights with the younger one are stressful, as he wakes up frequently looking for mom, doesn't like the bottles I offer, etc. Then I have to go to work and try to concentrate the next day. Real days """"off"""" are extremely rare", my job has been lower-intensity the last couple years
10,"""What is the method you rely on to keep your retirement income below IRMAA, NIIT, AMT and any other additional taxation that you perhaps did not need to worry about before retirement age?   Retirement often triggers RMDs from Traditional IRAs that you cannot totally avoid through e.g. Roth Conversions. There may also be other investments that mature or must be sold that potentially can push up income for a year or two. So, what is your main means of controlling your income so that you do not end up paying more in tax on your tax deferred retirement savings than you would have paid if you had not deferred it?  Do you just invest in stocks that do not produce dividend income? Do you invest in real estate, although that has property taxes?  Or do you just resign yourself to paying e.g. IRMAA, a """"tax"""" that did not exist when 401ks/Trad IRAs were first pushed as the only way to save for retirement  Those retiring now"," etc. kicks in."""
