,Question,Answer
0,what are the best ways to save money?,"1.don’t use credit cards - you buy the items, which you don’t want from the money you don’t own! i spent more than 10 lacs from credit cards & paid heft interests. it took almost 8 years for me to get rid of them! 2. don’t smoke - i spent almost 45000 rs per year on cigarettes when i was smoking actively. i am spending this money on reading books and travel now. 3.don’t drink – i spent approximately 65000 rs per year on drinks. now i am investing same money in stocks. 4.don’t take emotional decisions on money matter 5. walk 1 hour daily 6. carry a water bottle from home when you go out 7. don’t shop on empty stomach 8. buy amazon prime membership 9. start noting down all the expenses. even as small as 1 rs 10. ask for 10 % discount when you goto any medical stores . they generally give. 11.avoid junk food 12. don’t buy clothes unnecessarily -i have 75 + shirts , 25 + t shirts & 15+ jeans . but most of the time , i don’t use many of them. 13. read books on money management 14. avoid complete intake of sugar 15. don’t buy costly phone"
1,what are the best ways tips to save money?,"first…most people have a monthly income. they pay all their bills and whatever is left, they then set aside a portion and put it in their savings. wrong! the correct way to save: monthly income, set aside what you want to save and then whatever amount you have left, you use that to pay your bills and spend as you choose. savings comes first. second :""if something cost $1,000, and it is on sale for $750, and then you decide to buy it, you did not save $250. you spent $750."""
2,what are the best ways tricks to save money?,"don't keep all your funds in one bank. spend your salary only after deducting some amount for savings each month. always invest little money in some high-quality stocks every month and forget about it. never let emi's cross 30% of your income so that you don't fall in the debt trap. fixed deposits today gives almost zero return if adjusted with inflation, invest in low-risk mutual funds instead. always keep some ready cash with you to make money in adverse circumstances by purchasing shares at throw-away prices. (like these days) the best way to save money is not to waste it on destructive assets, like excessive car loan emi's. these depreciate at the speed of light. buying groceries once a month, sounds cliche but saves a lot of money wasted on impulse purchases every time you visit a supermarket. a good quality pair of shoes, stays with you for years; however, a cheap quality pair remains for months. be smart, buy decent quality products, estimate replacement costs before purchasing. plan holidays from your income, bonuses or profits must create wealth and assets. medical insurance saves you from instant bankruptcy or loss of life because of lack of funds. anything which depreciates over the years is a liability, anything which at least maintains its value over the years is an asset. live a stress-free life; stress leads to wasting money on temporary pleasures and medicines. allot pocket money to your children from an early age, controlling spending and inculcating good habits. if both spouses earn, family income doubles and savings multiply. seasonal fruits and vegetables are the cheapest and the healthiest. spend money on the internet so that you don't need to go out every other day. never buy the topmost model of any product; they offer unneeded extra features for a very high cost. don't create needs out of other people's luxuries; don't live a facebook life. maintaining products saves you from huge capital losses of repurchasing often."
3,do affluent people really eat better than people that are poor?,"i will never forget this and i remember it like it was yesterday. it was 1981 and i was a starving college student, literally starving. i had just gotten on food stamps and was still buying pilchard, a disgusting tuna substitute that was much cheaper than tuna. i lived on unbranded peanut butter and saltines many days. in those days you could even get generic corn flakes. i had a friend who was rich, drove a 280z to school every day, yada, yada, yada. invited me to dinner with his folks one day. a free meal!!! i was good to go. it turns out they weren’t expecting me, his mom and dad were sitting in their cluttered kitchen with dirty pots and pans on the stove, steam coming off them, but they invited me to sit with them and eat catch-as-catch-can with them. i put the fork in my mouth. my head nearly exploded. it was the most incredible thing i could ever remember eating and this was their “average” dinner together. i couldn’t even imagine what their “real” meals were like. the mother loaded me up with leftovers. they gave me a bottle of welch’s white grape juice. i had never in my life had anything like welch’s white grape juice. it cost almost 5 dollars for a small bottle in 1981. in 1981, 5 dollars was almost my entire weekly food budget. welch’s white grape juice might as well have been gold because i could never afford it on the best day of my life. nowadays it’s nothing special but back then i was staggered by it. so yes, compared to poor people, the quality and preparation of food by rich people is not just on another planet, it’s in another galaxy."
4,is it worth buying a lamborghini or is there a fancier status symbol out there?,"as someone that owns a lamborghini i can tell you unequivocally that it is worth buying the car…. if you are an enthusiast, and/or own a business that credibility is important and/or love the hilarious situations that you will find yourself whilst owning a lambo. case and point, below you will see a local rapper that messaged me on instagram asking to rent my huracan spyder for his video shoot. $4,000 and 3 hours later, i was able network with some awesome people in the music business which subsequently led to a joint purchase of a $3mm multi-family apartment complex. i also got to participate in my first rap music video - which is actually a lot of fun, and some how still made $1,300/hour. i would have never found myself in this situation driving a bmw 750i!!! the lambo also adds a ton of credibility when you are meeting people already within your industry. in this case below i was driving around town and this guy stops me in his rolls royce wraith and asked how i was able to buy the lambo. once he found out i was in real estate he told me he was a local developer, one thing led to another and now we are working on buying a portfolio of houses together. so bottom line if you are buying a lambo to show off and you aren’t an ethusiast - it will be a waste of money. they aren’t practical, most of the people you run into will ask for a picture and if you can’t leverage that interest/attention into a monetary benefit - you won’t have much except an ego boost and a bunch of random pictures of your car on facebook."
5,which is more important knowledge or money?,"mike tyson earned up to $30 million per fight at the peak of his career. some estimate he made over $300 million throughout his career. (foto source, google) after living an extravagant lifestyle, in 2003 mike filed for bankruptcy with over $27 million in debt. so, to answer your question, is money greater than knowledge? we may learn from multiple stories as the one above. most of them will lead us to the same conclusion: people may possess generational fortunes but if they lack knowledge they will destroy their wealth. on the other hand, with knowledge you can make money and most importantly keep it."
6,"what are the things which money cannot buy, but which poor people may enjoy more than rich ones?","do you know anyone who is truly poor? my wife came to the us in 2015 and her family came in december 2022 and lived in havana, cuba their entire lives. they were truly poor by nearly any standard. as a child, the family of 5 lived in a one bedroom, one bathroom house with a fan and boiled hot water for their “shower”. my wife slept next door at her grandmothers house in the same bed as her grandmother. they had nothing of material things but one thing they did have is friendships. everyone was generally struggling to survive and something you see in cubans who have been oppressed for 63 years is that they enjoy friendships. every day, several times per day, friends stop by unannounced. it’s a very social community. it includes serving a cup of super strong, super sweet cuban coffee and some juicy gossip about nothing if importance. sometimes you will see large huddles of men in a circle and mistake it for a serious brawl about to take place. emotions are flaring, voices full of emotion and yelling. but relax, they are simply “discussing” baseball! to watch the energy expelled over such a trivial topic gives perspective to what life has been reduced to for cubans. they barely survive yet they have one thing that most people don’t take the time to enjoy: relationships."
7,why do people buy houses that are cheaper in further areas only to drive an hour to work? is it worth it?,"this is my 7k square foot house out in the middle of nowhere, about ten miles from the nearest city, with acreage, privacy, an indoor salt water pool, year-round stream, and the best lifestyle i could possibly imagine. i moved far from the seattle area in the hunt for exactly what i found. i wouldn’t trade this place for anything. i spent four months of intense searching, driving over 13,000 miles to find just the exact right house. for me it came down to one very important thing. i wanted to find a place where i thought i could do my best work. pushing myself to be better at what i do matters on a very personal level. i advise companies and leaders all over the world and so geography isn’t as important as it once was. what mattered to me was my overall quality of life and my personal productivity. i wanted to get away from the chaos and noise and into someplace that felt like a retreat every day, where i could think through and solve difficult problems and write in my spare time. the one thing i ask myself over and over is why i didn’t do this sooner? i would drive to a big city and back to commute to this place in a heartbeat! you can’t find this in a city. none would be this quiet or filled with so much wildlife passing through every day. i have deer in the yard every single day, i watched a bobcat trot through the yard two nights ago and every bit of it is like something out of a fairytale. this is life at its best. edit on 11/16/22: people have asked me in messages to post more pictures of “moose lodge” named after my old dog, but for privacy reasons i’m reluctant. i love to contribute to quora, but where is the right line? there are a few pics on my personal website. here is another exterior."
8,what is a simple mistake people do that ruins their wealth?,"“it’s a very serious problem. i truly don’t know what we’re going to do,” my friend said to me last week during a lunch meeting. my friend is going through a very difficult situation. his mother-in-law is declining rapidly in health, needs constant medical attention and has zero retirement money. “who’s going to pay for all these expenses?” my friend asked me. “two of my wife’s siblings don’t have the money to cover these expenses. now my wife expects me to pay these outrageous sums of money. that’s not fair! why should i pay for everything?” i looked at him. no response came to mind. he then leaned forward and said to me in a low voice, “i mean, really … she’s not even my mother. they should pay her expenses as i will pay for my mother’s expenses!” incredible! nobody likes to talk about this. honestly, it’s painful! we’re all living longer, (which is great in many ways,) but what happens when people don’t plan accordingly and do not have enough retirement savings to live for the next 20 or 30 years? i know what i’m talking about. my dad just turned 90, and believe me, the expenses for taking proper care of both of my parents are staggering! costs are skyrocketing! we’re truly blessed that my father was very disciplined and planned accordingly for this season, but i’m very concerned for my friend’s mother-in-law, and millions of other aging parents who didn’t plan correctly for their retirement. so, to answer your question, what is a simple mistake people do that ruins their wealth? not having enough savings for their retirement, can potentially ruin their kids’ financial future!"
9,"poor/lower class people, when was the moment you realised you weren't as affluent as others?","for me, i learned how poor i was in second grade. we were learning about emergencies and electric fires and what to do in those situations. seemingly innocent enough right? our teacher had asked a benign question to the class relating to the number of smoke detectors each of us had in our homes. one by one she went around the room and each student in my class answered the question aloud. some students had one due to small houses, others two and few lucky and obviously more affluent students had three or more in their homes. when my turn came around, i eagerly answered that we had none, not a single smoke alarm in our home. my teacher, concerned and equally perplexed, inquired what we would do in the event of an electrical fire. triumphantly, i replied it was of no concern as we did not have any electricity in our home. silence. deafening silence. it’s one of those silences that one experiences in a dream when everyone suddenly realizes you're naked in a public place. that feeling. anyway, she stared at me in a cross between concern and bewilderment. immediately i was in the hallway with her and she was inquiring as to how long it had been since our electricity had been shut off. i told her we’d never had electricity. she asked if we had our water service. i said yes, we haul the water from a well every morning before i come to school. she stared at me in utter disbelief. next thing i know we are in the principal’s office and my principal, who was a very large man resembling mr. clean in a suit, was explaining to her that my family has no modern conveniences and we live completely off the grid. now things became interesting. we return to class and everyone starts asking how we watch tv. we don’t. how do we do laundry? laundromat once a week. how do we keep the milk cold? we don’t, we drink it as we soon as we are done milking the cow for breakfast. why would we keep it cold? how do we stay warm? we use the stove in the living room filled with the wood we chop. how do we play video games? i’ve never seen one before. and like a light bulb, i realized i was the only person in my class who lived like this. suddenly everything clicked for me. all my toys were made by my mom. all my clothes were the same and never from a store. i went home after school and worked in our garden. i went home that day and asked my mom why we did not have the things other kids had. she laid it out for me. her and my dad were in debt. they couldn’t afford to have the water lines installed and the electricity ran to our trailer. the trailer we lived in was the best we could afford. my dad and my mom were living like this with my brother and i because my dad happened to own the land and didn’t want to sell. it was all they had. they were homesteading it. we lived like this because we had no choice. after that day, i realized i was poor. and that feeling has been with me every day of my life ever since. i used to go to the bathroom in a fence row because we had no toilet. i got worms because of this as i’d frequently walk barefoot through feces. we shared bath water as a family and we bathed in a horse trough in our kitchen. i was seven years old. i had no friends in school and was always treated like i didn’t matter. and i didn’t. the poor kid in your class that everyone shunned, that is me. an innocent question about smoke alarms led to one of the great realizations of my childhood. i should’ve known sooner how different we lived but i didn’t. it took this event for it to sink in and i’ve never forgotten it."
