,lemmatized-post_text,lemmatized_reply_text
69405,ok start question detail sense higherincome earner determine total expense plan cover number retirement oppose final salary especially save ton retirement house pay use rate inflation conservative determine future value social security benefit wife teacher pension tend use budget inflation basically work conservative range number unemployment issuescan ease frugality bandwagon bit info car house potential ok thank read guy provide wonderful answer year lurk read similar myfico investingcreditinsurance website appreciate stat wife job teacher job engineer server month taxis save retirement kid age process get master escalate income bit close retirement meantime career good shape stable assume current income fair chance change ramp bank expense simplicity mortgage pi property tax insurance absolutely high estimate usually spend leave extra save bank invest month technically let plan shove roth year wife get master add month year mortgage payment drop like make big purchase credit continue buy inexpensive car save buy elsebut like trip major expense credit credit score fico score party debt leave mortgage year leave year mortgage credit card debt student loan car loan etc asset house value gather base redfin zillow hope crash live highly soughtafter town moderately shield honda civic mile tend repair need value depend crazy market sell time soon honda odyssey mile value ks ira roth ira wife teacher retirement fund state bad shape conservative assessment good exceedingly unlikely bank shortterm issue like well cushion bank eventual car purchase age good shape take care eld hit college year year middle year young save plan liquid saving college expense easy ramp wife master worstcase consider heloc refinance planning retirement personally like use future dollar mind stock growth ss increase inflation assumption income need simplisticallyspeaking current budget year inflation year month legitimate aftertax budget goal retirement obviously live similarly today nice phone moderate car small trip worried daytoday food expense emergency pay comfortably wife get master year look current final step salary schedule contract make today dollar final year retirement futuredollar like conservative income costofliving increase large year generally calculate pension average year month social security figure approximately ratio income maximum social security income time maximum ss benefit approximately mo today mo retirement take account investment income income month time taxis maybe minus expense month equal sense obviously stop save retirement currently save year retirement plan continue year year increase inflation find hole plan record current retirement saving plus year increase year assume save diligently plan rule month extra hole assessment thing consider dream build ecoefficient house large target set stone mean mortgage mortgage want year wholly dependent saving mortgage college expense etc year hope house pay year assume year income mo expense new house expense boost assume set college expense assume retirement plan make sense doable right miss let know finally bit information consider sharingbut come play inlaw fairly welloff frugal prefer assume potential windfall future,wow huge response appreciate sure quote youperfectly like comment bad sound like taxis retirement saving sound like year sound like expense include taxis year retirement likely owe taxis factor expense retiree healthcare employer shock healthcare buy combined think expense estimate likely low spend current rate lastly age expense save save year start recently number way sure setup think taxis retirement saving health care etc literally month check deposit bank definitely account taxis retirement rothira wife yearly bit subdue definitely assessment number minus expense go rothira leave year extra basically year number minus mortgage payment base expense plus moderate adder lifestyle creep healthcare add future good assumption gross save great target well majority sound like track healthy pension social security life go accord plan plug number firecalc show chance success assume work aa default annual expense add rough tax estimate phenomenal gross save initial thought save assessment risk teacher pension social security likelihood little current level thing think mitigate personally discount future pension social security guarantee money social security example check expect spend trust fund able pay benefit plan think expect cut think pay benefit money collect people pay social security mention spouse pension good shape plan get benefit happen late alternative likewise assume pension social security estimate base continue work retirement age year work sound like job situation great continue work year want financial independence quit work anymore enjoy pay quit work soon mean saved low social security base high earning year yes absolutely sure assessment usually ss pension overlyconservative case fund hear worstcase like job tend start stop serve job tend affect retirement saving assessment try question advice worry let look current dollar expense mortgage payment retirement age estimate ss benefit today wife final step salary schedule year divide mo pension payment get cola btw conservative value likely spend monthly today accord wantt o travel want plan bad big expense fix house etc etc need save dime want plan save year regardless want sure think correctly modicum stress brain haha help little old mid likely high income potentially similar expense expect social security pension cover estimate retirement expense matter current expense exclude taxis save factor taxis healthcare taxis pay healthcare estimate significantly difference assume early want retire love job definitely d like option retire work work high pay job save shift low pay job extend working year save awesome fair current expense save x retirement fund specific question andor thought personally use future dollar like thing way guess future inflation rate future growth rate etc minor difference major impact tend thing current dollar factor thing like pension get cost live adjustment need discount thing appear treat inflation good thing sense expect drive income good break expense go likely expense especially thing like healthcare go fast income probably wrong assumption use high inflation multipli expense low pensionincome ss adjustment point like current value think issue like difficulty determine investment growth ss pension cola respectfully annual expense exclude taxis sure boat frugal misunderstood number maybe currently save gross sound like plan increase inflation think maintain saving rate great idea keep sure frugal especially income word use general sentiment life ultimately balance need save tomorrow enjoy journey guarantee tomorrow like book money life help think thing sense life thing cost worth recommend check exactly look near future wife salary go stay spend sure retirement account grow shield case major thing wrongbut give meantime retirement fun right consider ym career issue maybe lean saving sure follow sound like want buy expensive car presumably ask permission guess sure definition expensive world difference buy junker car thousand dollar buy reasonable new car drive die buy luxury car let exotic car generally love buy nice car civic yes talk sport car gather fund emergency fund etc etc mind nice luxury convertible manual transmission like well cushion bank eventual car purchase age good shape take care quote general recommendation month expense available emergency fund month retirement account accessible fund tap good shape career impact lay long mortgage payment economy continue struggle find people lay extended period time let new job year plan need hopefully need need think money come stay afloat family ideally lose house fail plan clarification emergency fund rule thumb fine similar retirement rulesofthumb apply case emergency fund allow thing like unemployment able pay bill right wife tenured teacher amazing school district incredibly terrible fire right month medical insurance include flex plan arguably away boost mo get master expense mo minus emergency fund target giveortake bank deposit rothira definitely need save bit definitely month category want withdraw roth add stand position fancy restaurant day week case unemployment shift week cover half salary average recent job stretch unemployment year miss mortgage medical credit card utility payment long story short nuts emergency fund good shape say purchase credit moderately moot point plan increase bank account nearterm love year worth expense stock away liquid place like online saving account definitely try happen recommend check httpsssatool realistic estimate social security look like estimate cent odd dangerous assumption recommend make plan assume annual growth people expect far far like see year straight line rich estimate book assessment future dollar growth s retirement index fund historically reinvested dividend like use value extra conservative lower unlikely consider year talk inflationadjuste agree fan year increase firecalc estimate share base assumption adjust annually inflation especially inflation stay high easily find go great spot right tough spot optimistic assumption reality minimally advocate sustain adjust inflation annually absolutely intend increase contribution assess base good shape increase kinda try figure yes generally intent increase salary increase buy big house go mean expense property tax insurance utility upkeep etc sure account kid leave college go extra space property tax insurance increase take account assessment upkeep space issue thing say definitely want want assess economic viability plan continue assume money show account keep life simple ifwhen fall bunch money great opportunity think thing wish list like fancy house expensive car etc sure control journey quote significant want fulfil house building dream money wife earn maybe silly way love able thing possible money windfall happen relief ability ya know phew thank go post thoroughly give note appreciate love comment thing need sure think go forward
8138,current tech company year currently bored tear enjoy current plan time june pay cut work day week retire matter month take job outside current company result work fulltime approximately pay make parttime day week current position plenty available job area start wonder june submit resume couple job think shoein position experience get callback job surprise list year experience resume easily meet qualification job think company desperate employee tear stay uninspired current company reduced workweek great pay leave challenge new role work fulltime pay probably commit year work take new job concern retire company instead month plan able find job easily think able age discrimination exist tech,think vhcol hcol parse word impressive ask list maintenance category quicken line payment general contractor multiple service gc cover part labor following note install new water softener away water softener purchase separately paint new exterior pipe dispose old water softener master bathroom purchase deliver new toilet choose rate toilet accord consumer report cost extremely pleased flush well old wallmount model normal unit part need fix probably home depotlowe future big job involve opening wall floor remain wallmount toilet clearance replace regular toilet maybe short model fit sure code remove dispose wallmount builtin toilet install new dedicated circuit bidet gfci outlet extract watersewer line bidet toilet install new standard toilet install biobidet seat purchase unit appear expense patch texture repaint drywall dispose old toilet half bathroom fix drywall wallmount flush mechanism install new dedicated circuit bidet gfci outlet extract watersewer line bidet install biobidet seat purchase unit appear expense patch texture repaint drywall replace exist nonworke gfci outlet yes gc bill expensive labor little choice wallmount toilet repair lack part small water leak get costly replace wallmount toilet similar part replace regular toilet major pita wall open extract water line floor modify add waste pipe drywall redone repaint retextured ii try job touch wallmount toilet house leak fortunately go general contractor coordinate thing plumber painter drywall tile people entire job oppose piece expensive actually get headache contractor blame electrical work wall open half bathroom cost go portion discretionary talk electrician want run new circuit want charge run wire bathroom share circuit bidet unit need trip breaker guy gc hire good find way run new line main panel subpanel far away multiple pocket door track completely long slide open cost fix go company claim able have damage wall lifetime company new track company cost open wall redo frame drywall paint warranty new track pocket door house good shape door replace decide wait truly require house water softener dead replace part cost lowe water heater replace labor gallon unit warranty fully cover call useless plumber relate wh issue audio system hot tub repair cover cc warranty corresponding income line claim payment expense show maintenance small strip sidewalk repair homeowner responsibility city send bill cost contractor keep miss deadline city give refund permit fee wireless doorbell doorbell actually reach entire property indoor outdoors old system consider discretionary think way give issue important fedex package send monthlong trip doorbell hear time enphase solar microinverter fail replace part cover warranty labor cost delay repair year economic sense price hvac regular maintenance ac unit furnace previous year year bar faucet fail part amazon kitchenstyle faucet handyman labor replace reverse osmosis system bar fail filter replace faucet lone bathroom downstairs fail fix lock home depot faucet lock not recall location faucet plumber fix sink master bathroom pipe underneath disintegrate replace half faucet lowe believe downstairs bathroom reverse osmosis system costco electrician replace broken electrical box house fix kitchen sink stoppage emergency hour happen mother visit line snake far idea far get unplug plumbing remember reason expense line look like maintenance thing like garden hose rare doubleturn pocket door lock small dishwasher repair filter hot tub hot tub chemical water alarm bathroom sink lead tube laundr roomy water softener salt water test kit hot tub new large deck box labor install haul old break dryer vent clean good probably gc work relate bidet seat discretionary doorbell improvement exist system place work improvement categorize improvement relate instal surge protector electrical panel money spend replace outlet surge protector outlet surge recently utility damage equipment thread rare expensive quad breaker cost place find nationwide bargain versus replace main panel cost money spend home automation number switch part labor maybe lot small transaction add ton defer maintenance example jet tub bathroom downstairs fail electrical control part available replacement kit local dealer want trip charge look conversion kit range accord manufacturer idea install rate fix hot tub cover get waterlogge storm part labor fix install lifter year exterior repaint time year cost expect time termite tent good solution termite multiple location get bid year delay delay list long maintenance item improvement assess prop purchase market value probably impossible market sell zillow say clean garden probably combination factor base connection charge month consume water right small water leak toilet easy fix rate high california drought punitive rate consumption threshold exceed ie tiere rate san jose water forprofit company list stock market puc city taxis surcharge apply add roughly recent month water bill include fix water leak reduce irrigation day day week minute day vs hour include day person live house mother visit france usage go gallonsday gallonsday previous bill recent bill believe possible average american consume gallonwater day believe indoor consumption think lot gallonsday people water landscaping summer irrigation time bit long consumption bill high real fix lower water consumption remove replace native plant stop outdoor irrigation altogether think realistically leak fix outdoor watering water bill year qualify life insurance employer age hiv automatic decline regardless virally suppress policy convertedporte employer premium increase year think like double year year major increase likely reduce coverage drop shop single year homeautoumbrella recently switch safeco farmer december auto issue lot people zip code uninsured auto insurance rate nearly double move previous year ago rate base coverage maximum deductible car perfect driving record thing lower rate home insurer touch time drive near fire station house neighborhood brush fire close recent year especially case evacuate year endthis climate change home insurance rate safeco switch mercury year later rise premium mercury want raise home policy rate switch farmer auto rate farmer go mercury umbrella rate umbrella mercury half price farmer insurance total look high switch insurer middecember receive refund previous insurer policy month refund happen auto premium different decade ago mainly home premium massively increase umbrella insurer change
75876,nightmare maybe wring bug use voip phone want use anymore work instruction sit enter driver license try time voip wifey android phone sit hold thriftline total minute phone call value gfund definitely transfer money ira retire,paste vanguard fund available mfw chance want short s think go start monday fund vanguard accomplish thank advance ticker morningstar category vanguard index admiral vfiax large blend vanguard total stock mkt idx adm vtsax large blend vanguard growth index admiral vigax large growth vanguard large cap index admiral vlcax large blend vanguard mid cap index admiral vimax midcap blend vanguard small cap index adm vsmax small blend vanguard total bond market index adm vbtlx intermediate core bond vanguard value index adm vviax large value vanguard extend market index admiral vexax midcap growth vanguard shrtterm inflprot sec idx adm vtapx inflationprotecte bond vanguard balanced index adm vbiax allocation equity vanguard develop market index admiral vtmgx foreign large blend vanguard intermterm bond index adm vbilx intermediate core bond vanguard intmdtterm trs idx admiral vsigx intermediate government vanguard longterm treasury idx admiral vlgsx long government vanguard midcap growth index admiral vmgmx midcap growth vanguard midcap value index admiral vmvax midcap value vanguard mortgagebacke secs idx adm vmbsx intermediate government vanguard shortterm bond index adm vbirx shortterm bond vanguard shortterm treasury idx admiral vsbsx short government vanguard shortterm corp bd idx admiral vscsx shortterm bond vanguard small cap growth index admiral vsgax small growth vanguard small cap value index admiral vsiax small value vanguard dividend appreciation index adm vdadx large blend vanguard high dividend yield index adm vhyax large value vanguard target retirement fund vtwnx targetdate vanguard target retirement fund vttvx targetdate vanguard target retirement fund vthrx targetdate vanguard target retirement fund vtthx targetdate vanguard target retirement fund vforx targetdate vanguard target retirement fund vtivx targetdate vanguard target retirement fund vfifx targetdate vanguard target retirement fund vttsx targetdate vanguard target retirement fund vlxvx targetdate vanguard target retirement income fund vtinx targetdate retirement vanguard target retirement fund vffvx targetdate vanguard intermterm taxexempt adm vcadx muni california intermediate vanguard longterm taxexempt adm vclax muni california long vanguard highyield taxexempt adm vwalx muni national long vanguard intermterm txex adm vwiux muni national interm vanguard ltdterm txex adm vmlux muni national short vanguard longterm taxexempt adm vwlux muni national long vanguard ny longterm taxexempt adm vnyux muni new york long vanguard nj longterm taxexempt adm vnjux muni new jersey vanguard pa longterm taxexempt adm vpalx muni pennsylvania vanguard shortterm txex adm vwsux muni national short vanguard taxmanage balanced adm vtmfx allocation equity vanguard taxmanage capital app adm vtclx large blend vanguard taxmanage small cap adm vtmsx small blend vanguard communication svcs idx admiral vtcax communications vanguard consumer discretionary idx adm vcdax consumer cyclical vanguard consumer staples index admiral vcsax consumer defensive vanguard core bond admiral vcobx intermediate core bond vanguard energy index admiral venax equity energy vanguard european stock index admiral veusx europe stock vanguard financial index admiral vfaix financial vanguard health care index admiral vhcix health vanguard industrial index admiral vinax industrials vanguard inflationprotecte sec adm vaipx inflationprotecte bond vanguard information technology idx adm vitax technology vanguard intermterm treasury adm vfiux intermediate government vanguard intermterm investmentgrde adm vfidx corporate bond vanguard longterm treasury admiral vusux long government vanguard material index admiral vmiax natural resource vanguard pacific stock index admiral vpadx diversify pacificasia vanguard shortterm federal adm vsgdx short government vanguard shortterm investmentgrade adm vfsux shortterm bond vanguard shortterm treasury adm vfirx short government vanguard total world stock index admiral vtwax global largestock blend vanguard ultrashortterm bond admiral vusfx ultrashort bond vanguard utilities index adm vuiax utilities vanguard ftse allwld exus idx admiral vfwax foreign large blend vanguard gnma adm vfijx intermediate government vanguard lifestrategy income inv vasix allocation equity vanguard total intl bd idx admiraltm vtabx global bondusd hedge vanguard total intl stock index admiral vtiax foreign large blend vanguard lifestrategy cnsrv gr inv vscgx allocation equity vanguard longterm investmentgrade adm vwetx longterm bond vanguard real estate index admiral vgslx real estate vanguard highyield corporate adm vweax high yield bond vanguard lifestrategy moderate gr inv vsmgx allocation equity vanguard ma taxexempt inv vmatx muni massachusetts vanguard oh longterm taxexempt vohix muni ohio vanguard emerge mkts stock idx adm vemax diversify emerge mkts vanguard ftse social index admiral vftax large blend vanguard global minimum volatility admr vmnvx global largestock blend vanguard lifestrategy growth inv vasgx allocation equity vanguard ftse allwld exus smcp idx adm vfsax foreign smallmid blend vanguard wellesley ® income admiraltm vwiax allocation equity vanguard wellingtontm admiraltm vwenx allocation equity vanguard strategic equity inv vseqx midcap blend vanguard multifactor admiraltm vfmfx midcap blend vanguard equityincome adm veirx large value vanguard commodity strategy admiral vcmdx commodity broad basket vanguard windsortm admiraltm vwnex large value vanguard growth income adm vgiax large blend vanguard energy adm vgelx equity energy vanguard global credit bond admiral vgcax corporate bond vanguard dividend growth inv vdigx large blend vanguard strategic smallcap equity inv vstcx small blend vanguard windsortm ii admiraltm vwnax large value vanguard health care adm vghax health vanguard global wellesley income admiral vgyax global allocation vanguard growth admiraltm vwuax large growth vanguard explorer adm vexrx small growth vanguard global wellington admiral vgwax global allocation vanguard manage allocation investor vpgdx allocation equity vanguard star inv vgstx allocation equity vanguard international growth adm vwilx foreign large growth vanguard select value inv vasvx midcap value vanguard diversify equity inv vdeqx large growth vanguard international core stock adm vzicx foreign large blend vanguard global capital cycles investor vgpmx global largestock value vanguard international value inv vtrix foreign large value vanguard emerge market bond admiral vegbx emerge market bond vanguard international explorer inv vinex foreign smallmid growth vanguard global equity inv vhgex global largestock blend vanguard global esg select stk admiral vesgx global largestock blend
133733,hi see similar post like feel like go midlife career crisis little background graduate college degree computer tech start computer science switch major focus college web language database graduate start work local software company focus web design low pay type work come point enjoy come conclusion programming living leave year work automotive company look graduate technician job building cable break box reprogramme device testing car enjoy day different able lot travel new manager group transfer software group configuration manager think good fit background responsibility baselinerelease software testing maintain automate build server enjoy job lay end new project come lot people lay time find job work similar company company split let go work spin company figure familiar get job know role support compiler license maintain server end manager retire kind couple manager little interaction end company buy company new manager role change new manager want configuration management expert come strategy organization roll strategy new program come strategy focus year manager write strategy change responsibility roll program issue right huge interest config managementdevop manager pick background feel like previous job know sign choose like throw choice job early work home covid go office interaction covid option available recently try go office month ago week help hardly fact kind depressing feel like island group group include manager state people suppose work country personalitywise introvert generally like people open know people know lot people office friend people go office enjoyable fun kind interaction pandemic lot people interested meet lunch coworker meet lunch weekly basis help job fit feel like team important feel like work assignment clear suppose feel knowledgeable subject tool new year feel pretty positive life probably work week holiday break resume work feel anxiety feel like right option continue job hope thing work say past year feel hopeful week fade try look transfer company different job suit think line softwarehardware validation well fit look job worry sure want feel like lot transferrable skill go college think want software enjoy hobby html program interested later want finish degree couple test career counselor year disappoint teach thing want job offer suggestion type career sorry long wind post want enjoy work dread morning worry thing outside work enjoy issue work thing hour week want enjoyable feel like previous job work like advice good reply,disclaimer come perspective yearold limited experience come conclusion actively go way create kind job want go passive person nature relate topic come long line manual laborer generation family college work technical whitecollar field struggle class value time internship like school mean exposure fortune type corporate job start career graduation time gradually recognize lot cultural mismatch corporate environment highly visible work reward mundane necessary work take significantly effort employee compete promotion title expense overall progress manager agenda separate employee resource team project order thing low cost expense employee career trajectory outright lie goodbenevolentgenerous corporation say stretch truth thing like worklife balance charitable matching etc universally leverage attract talent low cost sake improve line common example pandemic generally vague term pandemicrelated policy employeefriendly go offer raise year despite record profit soar stock price room longterm project management approve mean want improve pain point organization work go day management go accommodate work get approve high level hire resume interview etc complete horse manure success beget success lot people trap bad cycle look subpar resume deny opportunity continue suppress career progress lot positive reinforcement success story subpar work point work blame negative preexist condition countless news story headline talk million unfilled job listing miss point job perpetually hire sake catch qualified applicant qualified position mean company chance anybody order fill role d like run mcdonald opening applicant phds human psychology course want hour point turn obvious hire improve business necessarily hire train ramp line company complain find qualified candidate fill higherlevel position simultaneously lay aggressively retire highlycompensate oldtimer hire young new employee low compensation level intention build position time presumably total compensation guess passive yes man lead trample company ask maybe occasional cola raise shut ll tell nice flexible willing ask screw time come real decision favor squeaky wheel know easy business grease squeaky wheel depend stay stuck summarize corporation basically toddler fabricate story order maintain plausible deniability maximize benefit difference toddler corporation toddler ultimately far power parent corporation far power employee way thrive structure act like toddler oneself get think dream job graduation extremely disappoint people consider mentor leave month start date interviewer tell apply get office unusual time office convert cubicle share cubicle time start go think different manager shy year jump ship secure part company reassure fine coworker remain polite accommodative guy particular obsess compensation hound people try secret manage catch make pass open compensation page work help fill tax form waste opportunity remind work people hire despite experience good thing find share high achiever office get promotion raise shock learn thing question work hard year virtually entire product group lay include take year wife immigrate abroad time want travel focus get job year gap end huge negative resume start apply job hear everybody hot industry company fill position get ghost left right month struggle finally decide stretch truth resume list personal project employment gap lo behold get offer immediately mistake ask low compensation negotiate glad offer time job start surprisingly hear company pleasantly surprised like team member work unfortunately downhill dynamic list play find hard way team basically decision power request plan get overridden immediate corporate priority decision favor manager outside team decision horrible consequence negatively impact employee efficiency maintainability product keep pull wool eye insist decision maker infallible lazy worker like bad excessive recognition compensation highly visible decision maker bad decision expense accountability make decision overload team unnecessary work naturally manager decide generate ton dependency team like personally move project team couple month point hand marketable skill diminish ability particular component work personal project outside work refresh skill order apply job work week try fix problem pull moment notice fire leave almostfinished project rot feel like broad knowledge aspect product favor one demand recognition opinion idea trust deserve file lowpriority bug code recently close team wontfix heck work despite company love have leadership qa meeting repeatedly spew nonsense love company sunshine rose have recently turn see peer money well title respected company come conclusion passive way tell demand well condition go lead op experience want specific career explicit wish way sure people defend capitalism matter point trust anybody career move want manager gladly jerk suit interest want miscellaneous guy get toss random project acknowledge difficulty importance fi important wish highly visible performer write ticket far easy balance work family child personal project interview well company somewhat resent common notion boglehead fi job satisfaction entirely separate concern maybe somebody casually well job sure lot people fi thing breathing room quit job like breather thing seriously consider quit year benefit vest take time raise child refresh technical skill apply new job advice op obviously consider similar fi happen overnight know need learn speak get move project detriment career let management know satisfied prefer stay single team project group aligned skill interest context switching far free major drain productivity job satisfaction tell far sustainable focus area expert instead constantly get assign new thing unfamiliar like say need bit like toddler treat like way business like ultimately
65959,get benefit information new job chicago public school option ppo hsa think worth,prescription drug expensive doctor time year manual say addition hmo ppo plan cp offer ppo health savingsaccount hsa plan hsa taxfavore account conjunction hsacompatible health plan fund account pay irsqualified medical expense service apply deductible dental vision cp contribute single coverage employee family coverage individual hsa fund pay incrementally pay period employer contributionswill prorate base beginning date enrollment ppo hsa plan employer employee contribution deposit participant account pay date lump sum • cp employer contribution seed money apply deductible medical expense • fund roll year year leave cp • monthly premium low tax saving high irs regulation employee enrol hsa plan health care fsa plan concurrently current irs regulation cover ppo hsa contribute health care fsa plan information find irs publication irs employee employer contribution maximum • employee coverage • employee family coverage hsa fund roll yeartoyear tax benefit contribution earning distribution longterm investment opportunity available irs catch age hsa employee account cp ' transaction handle employee hsa bank employee responsibility complete process open account day account open contribution deposit monthly maintenance fee charge depend balance account contact hsa bank information monthly fee use saving low premium hsa account watch saving build fast contribution divide pay period year receive paycheck summer example makeup contribution miss pay period summer month deposit hsa bank account employer portion beginning new school year bluecross blueshield illinois ppo health saving account hsa chicago public school benefit handbook benefit highlight eligible expense network network cp employer contribution single employee family annual deductible single employee family single employee family outofpocket maximum establish irs regulation single employee family single employee family care doctor office • general office visit eg xrays allergy shot chemotherapy • wellnesspreventive care eg routine physical checkup baby care colonoscopy mammograms pap smear immunization deductible copay deductible deductible copay deductible preauthorization requirement • procedure therapy surgical page information preauthorization require failure result additional coinsurance charge plus coinsurance applicable service benefit reduce deny completely determined treatment admission medically necessary preauthorization require failure result additional coinsurance charge plus co insurance applicable service benefit reduce deny completely determined treatment admission medically necessary telemedicine virtual visit deductible na inpatient hospital service • hospital semiprivate room board • doctor visit include specialist xrays drug surgeon fee anesthesiologist deductible include inpatient hospitalization deductible include inpatient hospitalization outpatient hospital care include surgery deductible deductible maternity • prenatalpostnatal • hospital coverage mother newborn deductible deductible deductible deductible cover emergency care • emergency care deem emergency • ambulance deductible deductible deductible deductible behaviorialmental health unlimited visit • inpatient • outpatient deductible deductible deductible deductible therapy • physical occupational speech therapy restoration function approve doctor • limit combine visit calendar year • chiropractic care • limit visit calendar year deductible copay deductible copay deductible deductible copay care skilled nursing facility daysyear medically necessary deductible deductible prosthetic device medical equipment deductible deductible pharmacy deductible deductible eligible fulltime union employee employee employee family eligible halftime teacher employee employee family eligible nonunion employee employee employee family bluecross blueshield illinois health saving account hsa health saving account employer contribute employee fund deposit account pay period calculate incrementally base pay period chicago public school benefit handbook clinical preauthorization ppo ppo hsa plan bluecross blueshield illinois manage preauthorization process cp employee dependent enrol ppo ppo hsa health plan preauthorization design ensure receive quality medical care discourage unnecessary treatment verify certain treatment hospital stay appropriate obtain approval medical professional bcbsil available – pm monday friday preauthorization medical behavioral health service preauthorization requirement preauthorization require follow service procedure • inpatient hospital care include acute rehabilitation hospital surgery • inpatient skilled nursing facility care • organ transplant • air ambulance transportation • certain outpatient surgery procedure ○ blepharoplasty surgery eyelid ○ breast surgery reduction reconstruction relate mastectomy biopsy lesion ○ cat scan ○ mri ○ nasal surgery rhinoplasty septoplasty ○ pet scan ○ sclerotherapy ligation veinstrippe ○ sleep study • hospice inpatient home • home nursing visit • private duty nursing chicago public school benefit handbook preauthorization requirement • durable medical equipment supply ○ hospital bed ○ ventilator ○ prosthetic • durable medical equipment cost • enteral formula lifesustaine tubal feeding • pregnancy care month soon pregnancy confirm business day admission delivery include weekend remain employee reach age eligible medicare boardsponsored plan primary plan medicare secondary plan primary spouse age old eligible medicare cover boardsponsored plan coordination medicare chicago public school benefit handbook latanya yearold longtime runner experience severe pain workout latanya doctor diagnose problem order mri latanya doctor family member friend notify bcbsil receive approval prior receive mri caleb age numerous bout sore throat neck swell past couple year recent examination caleb doctor find lump caleb neck lump viewable normal xray doctor suggest caleb mri caleb minor doctor facility family member parent legal guardian notify bcbsil prior schedule date outpatient procedure maria age severe osteoarthritis schedule knee replace ment surgery require maria hospital day maria doctor facility family member friend notify bcbsil soon admission date schedule preauthorize inpatient surgery hospital admission
65835,know normal work hour hour week hour people work hour people work few hour hour important excessive work hour lot stress pressure bad hate hour hour work hour actually want work year old millennial graduate student loan credit card debt work hour april get mba year get new job make figure good job work hour week work office day week telework day week office work day go usually leave house work work separate office colleague super chill office work culture super relaxed say late late like hour happen lunch break promptly hour lunch break hour watch youtube video eat restaurant nap office pm pm similar morning little bit later want say home pm late time home pm pm usually home pm rest day lot free time want usually play video game watch youtube video walk dog telework telework day week let honest work teleworking day usually log check email hour work probably minute teleworking day work hour like lot telework thing colleague thing check actually teleworke get trouble matter fact colleague think hard worker team lead tell great job need worry job security tell buy second house work hour day office day week usually work hour telework day week total hour week work hour week pay figure year work call work weekend work overtime need travel work job great worklife balance like work excessive hour stay home ideal boring need think continue work year retire year old,apologize advance long post recognize lot op situation want share experience risk paint negative light treat job college way long time outside observer lazy defense bust butt nonstop year deal lot personal issue mother pass away middle school father lose business time force work long hour lowerpaye job support financially end raise brother sister extent high school manage graduate valedictorian topti university end way rigorous intensive public school district quickly study long hour stay water catch prerequisite material learn creative participate summer foreignstudy program pay flexible stipend family pretty break time pay rent lend money get study father start business ultimately fail end high school struggle depression romantic relationship carry university year meet eventual wife actually break temporarily shortly graduate time start job worn emotionally spiritually financially ready work long hour compete climb corporate ladder time bit extra spending money live frugal lifestyle prioritize saving treasure leisure sleep time sure plenty workplace accommodate casual nature kind die legacy tech business lot personnel turnover old people retire new people quickly find exciting higherpaying job manager visible part company go manager course year tell good job say line promote leave people respect mentor leave month start stay help company blatantly lie certain benefit interview fail deliver join make feel like take advantage interview promise employee office extreme rarity new employee line work legacy business acquire reduce staff year like unique opportunity time join go hire spree fill office multiple people set share cubicle make private company industry lastly coworker short stint leave company dislike guy extremely nosy personal business compensation good thing find young worker product group get promotion raise completely kill motivation point bust butt go compensate accordingly honest indian immigrant suspect lot abuse go care pry mind spend year scrape bare minimum pretty department get lay restructuring way regret company care live word give raise retain skilled employee gut awareness fire year manager oblivious care actually fight warning etc end get lay time everybody work go drain help legacy customer generate minimal revenue company definite negative come marketable skill definitely stagnate time expertise relatively old technology develop employee person role apply job huge hassle require brush skill bit unemployed pay good head start personal financial goal peer university seemingly shoot way compensation rank time period lucrative company develop social tie meaningful networking effectively burn bridge let old one university stale make hard find work later continue deal depression partly holdover early personal struggle hate interact select colleague dread go work productive polite respectful shock learn ruthless corporate world coworker act nice praise person throw bus group setting personal gain leader barely demand perfection accept anybody work state functional start justify sort behavior refuse engage day treasure leisure time set fight uphill battle habit time start put long hour basically yes take advantage system end terrible career know hate corporate work life passion interest climb corporate ladder long get raw deal suppose bad absolutely well start new job promise approach differently work hard contribute greatly try develop career point get married finance good learn lot personal issue long sadly quickly run significant road block new company complete mess come management decision making certain favor employee destroy company probably promote praise give great degree autonomy start work like fiend hour week implement improvement team work flow infrastructure automation testing get gradually overridden influential manager outside team force garbage inhouse technology throat insist way thing get praise recognition leave objectively awful developer experience ashamed way thing current company fact work long hard hour thing actually understand significant contribution result positive career development expect jerk project functional area develop particular specialty constant context switching person go clean people mess recognition kind resign idea long company deadend job need ahead realistically honest job stretch fire think important takeaway experience yes find situation exploit work short hour reasonable pay necessarily mean good longterm satisfaction development time place likely fall apart choose work hard mean great career development corporate loyalty completely outdated concept company good interest sell like saint savior reasonable employee want develop career need way find company relationship happen okay aware associate challenge go soulsucke grind finish line kind feel like throw early year away chance flip employer bird day walk away early work long hour current employer productive hour instead time spend perform menial manual setup task management decide time time worth invest developer workflow need pump feature asap point impossible push new feature timely manner completely rebuilt legacy platform ground promise easiertomanage system end convolute bad legacy system arrival people actually know work retire remain dissatisfied look new job hey executive golden parachute worry actually right thing guess short term profit look great shareholder sick situation actually love job work hard feel like actually make meaningful progress point maybe finally manage fire well luck op
