,Question_Processed,Answer_Processed
0,good way save money,use credit card buy item want money spend lac credit card pay heft interest take almost year get rid smoke spend almost rs per year cigarette smoke actively spend money read book travel drink – spend approximately rs per year drink invest money stock take emotional decision money matter walk hour daily carry water bottle home go shop empty stomach buy amazon prime membership start note expense even small r ask discount goto medical store generally give avoid junk food buy clothe unnecessarily + shirt + shirt 15 + jean time use many read book money management avoid complete intake sugar buy costly phone
1,good way tip save money,first … most people monthly income pay bill whatever leave set aside portion put saving wrong correct way save monthly income set aside want save whatever amount leave use pay bill spend choose saving come first second something cost sale decide buy save spend
2,good way trick save money,keep fund one bank spend salary deduct amount saving month always invest little money high quality stock every month forget never let emi cross income fall debt trap fix deposit today give almost zero return adjust inflation invest low risk mutual fund instead always keep ready cash make money adverse circumstance purchase share throw away price like day good way save money waste destructive asset like excessive car loan emi depreciate speed light buying grocery month sound cliche save lot money waste impulse purchase every time visit supermarket good quality pair shoe stay year however cheap quality pair remain month smart buy decent quality product estimate replacement cost purchasing plan holiday income bonus profit must create wealth asset medical insurance save instant bankruptcy loss life lack fund anything depreciate year liability anything least maintain value year asset live stress free life stress lead waste money temporary pleasure medicine allot pocket money child early age control spending inculcate good habit spouse earn family income double saving multiply seasonal fruit vegetable cheapest healthy spend money internet need go every day never buy topmost model product offer unneeded extra feature high cost create need people luxury live facebook life maintain product save huge capital loss repurchase often
3,affluent people really eat well people poor,never forget remember like yesterday starve college student literally starve get food stamp still buy pilchard disgusting tuna substitute much cheap tuna live unbranded peanut butter saltine many day day could even get generic corn flake friend rich drive 280z school every day yada yada yada invite dinner folk one day free meal good go turn expect mom dad sit cluttered kitchen dirty pot pan stove steam come invite sit eat catch catch put fork mouth head nearly explode incredible thing could ever remember eat average dinner together could even imagine real meal like mother load leftover give bottle welch white grape juice never life anything like welch white grape juice cost almost dollar small bottle dollar almost entire weekly food budget welch white grape juice might well gold could never afford good day life nowadays nothing special back stagger yes compare poor people quality preparation food rich people another planet another galaxy
4,worth buy lamborghini fancy status symbol,someone own lamborghini tell unequivocally worth buy car … enthusiast business credibility important love hilarious situation find whilst own lambo case point see local rapper message instagram ask rent huracan spyder video shoot hour later able network awesome people music business subsequently lead joint purchase 3 mm multi family apartment complex also get participate first rap music video actually lot fun still make hour would never find situation drive bmw 750i lambo also add ton credibility meet people already within industry case drive around town guy stop roll royce wraith ask able buy lambo find real estate tell local developer one thing lead another working buying portfolio house together bottom line buying lambo show ethusiast waste money practical people run ask picture leverage interest attention monetary benefit much except ego boost bunch random picture car facebook
5,important knowledge money,mike tyson earn million per fight peak career estimate make million throughout career foto source google living extravagant lifestyle mike file bankruptcy million debt answer question money great knowledge may learn multiple story one lead we conclusion people may possess generational fortune lack knowledge destroy wealth hand knowledge make money importantly keep
6,thing money can not buy poor people may enjoy rich one,know anyone truly poor wife come we family come december live havana cuba entire life truly poor nearly standard child family live one bedroom one bathroom house fan boil hot water shower wife sleep next door grandmother house bed grandmother nothing material thing one thing friendship everyone generally struggle survive something see cuban oppress year enjoy friendship every day several time per day friend stop unannounced social community include serve cup super strong super sweet cuban coffee juicy gossip nothing importance sometimes see large huddle man circle mistake serious brawl take place emotion flare voice full emotion yelling relax simply discuss baseball watch energy expel trivial topic give perspective life reduce cuban barely survive yet one thing people take time enjoy relationship
7,people buy house cheap area drive hour work worth,7k square foot house middle nowhere ten mile near city acreage privacy indoor salt water pool year round stream good lifestyle could possibly imagine move far seattle area hunt exactly find would trade place anything spend four month intense search drive mile find exact right house come one important thing want find place think could well work push well matter personal level advise company leader world geography important matter overall quality life personal productivity want get away chaos noise someplace feel like retreat every day could think solve difficult problem write spare time one thing ask soon would drive big city back commute place heartbeat find city none would quiet fill much wildlife pass every day deer yard every single day watch bobcat trot yard two night ago every bit like something fairytale life good edit people ask message post picture moose lodge name old dog privacy reason reluctant love contribute quora right line pic personal website another exterior
8,simple mistake people ruin wealth,serious problem truly know go friend say last week lunch meeting friend go difficult situation mother law decline rapidly health need constant medical attention zero retirement money go pay expense friend ask two wife sibling money cover expense wife expect pay outrageous sum money fair pay everything look response come mind lean forward say low voice mean really … even mother pay expense pay mother expense incredible nobody like talk honestly painful living long great many way happen people plan accordingly enough retirement saving live next year know talk dad turn believe expense take proper care parent stagger cost skyrocket truly bless father discipline plan accordingly season concerned friend mother law million age parent plan correctly retirement answer question simple mistake people ruin wealth enough saving retirement potentially ruin kid ' financial future
9,poor low class people moment realise affluent other,learn poor second grade learn emergency electric fire situation seemingly innocent enough right teacher ask benign question class relate number smoke detector we home one one go around room student class answer question aloud student one due small house other two lucky obviously affluent student three home turn come around eagerly answer none single smoke alarm home teacher concern equally perplexed inquire would event electrical fire triumphantly reply concern electricity home silence deafen silence one silence one experience dream everyone suddenly realize naked public place feel anyway stare cross concern bewilderment immediately hallway inquire long since electricity shut tell would never electricity ask water service say yes haul water well every morning come school stare utter disbelief next thing know principal office principal large man resemble mr clean suit explain family modern convenience live completely grid thing become interesting return class everyone start ask watch tv laundry laundromat week keep milk cold drink soon do milking cow breakfast would keep cold stay warm use stove living room fill wood chop play video game never see one like light bulb realize person class live like suddenly everything click toy make mom clothe never store go home school work garden go home day ask mom thing kid lay dad debt could afford water line instal electricity run trailer trailer live well could afford dad mom live like brother dad happen land want sell homesteading live like choice day realize poor feeling every day life ever since use go bathroom fence row toilet get worm would frequently walk barefoot fece share bath water family bathe horse trough kitchen seven year old friend school always treat like matter poor kid class everyone shun innocent question smoke alarm lead one great realizations childhood know soon different lived take event sink never forget
