"question_name","question_url","question_views","question_upvotes","question_shares","question_comments","answer","question_date","question_date_url","question_shares_url"
"What would happen if I walked into a bank to deposit $1 million dollars in cash? Do most banks have machines that do the counting?","https://www.quora.com/What-would-happen-if-I-walked-into-a-bank-to-deposit-1-million-dollars-in-cash-Do-most-banks-have-machines-that-do-the-counting","80.1K views","917 upvotes","2 shares","38 comments","To deposit $1 million cash in a bank, first the bank will want to know where this money came from. This is called “Know Your Customer.” This is a federal law and they can get into huge amounts of trouble if they just took your money.
Assuming they buy your story on how you got the money, they will have to count it. If it is all $100s, then a teller should be able to count it all in under an hour. If it is in mixed denominations, it will take much longer even with a machine (not all branches have those machines).
After they finish counting your money, they have to fill out a federal form telling the government that you just deposited a large amount of cash. This may make the government curious and they could start an investigation on you.
Also, the branch that you went to may not want to take your money. Because banks don’t like a lot of cash around for security reasons, they will have to schedule another visit from the armored car company to get rid of the cash. That will be an additional expense. Plus if it is a small branch, they may not have extra tellers to sit down and count all of your money.","","",""
"Why will most people not become millionaires?","https://www.quora.com/Why-will-most-people-not-become-millionaires","161.5K views","2.2K upvotes","87 shares","24 comments","Because they don’t have the courage to ask for it — they don’t even think it’s a possibility.
Because they want quick fixes, that course, that scheme, that shiny thing. — they want it tomorrow but wealth is built long-term.
Because they are lazy thinkers — they don’t find better ways to provide value in the marketplace.
Because they don’t improve themselves— no time for financial literacy, developing skills, shifting mindset, etc.
Because they never take action. — they will never start any business or try anything and just feel good reading such answers.
Because they don’t save money — you can’t make money work for you if you don’t have any.
Because they have bad beliefs about money — “money is evil” and “If you make millions, you take away from the poor”.
Because they are scarcely selfish— they don’t want to provide value instead just want to make a quick buck and run.
Because they don’t budget and live above their means — poor financial skills.
Remember, money is a mindset game, fix yours.","","",""
"Is it worth buying a Lamborghini or is there a fancier status symbol out there?","https://www.quora.com/Is-it-worth-buying-a-Lamborghini-or-is-there-a-fancier-status-symbol-out-there","347.9K views","10.3K upvotes","78 shares","116 comments","As someone that owns a Lamborghini I can tell you unequivocally that it is worth buying the car…. IF you are an enthusiast, and/or own a business that credibility is important and/or love the hilarious situations that you will find yourself whilst owning a lambo.
Case and point, below you will see a local rapper that messaged me on Instagram asking to rent my Huracan Spyder for his video shoot.
$4,000 and 3 hours later, I was able network with some awesome people in the music business which subsequently led to a joint purchase of a $3mm multi-family apartment complex.
I also got to participate in my first rap music video - which is actually a lot of fun, and some how still made $1,300/hour.
I would have never found myself in this situation driving a BMW 750i!!!
The Lambo also adds a ton of credibility when you are meeting people already within your industry. In this case below I was driving around town and this guy stops me in his Rolls Royce wraith and asked how I was able to buy the lambo.
Once he found out I was in real estate he told me he was a local developer, one thing led to another and now we are working on buying a portfolio of houses together.
So bottom line if you are buying a Lambo to show off and you aren’t an ethusiast - it will be a waste of money. They aren’t practical, most of the people you run into will ask for a picture and if you can’t leverage that interest/attention into a monetary benefit - you won’t have much except an ego boost and a bunch of random pictures of your car on Facebook.","","",""
"What efforts do you do now to become retiring wealthy?","https://www.quora.com/What-efforts-do-you-do-now-to-become-retiring-wealthy","151.5K views","2.6K upvotes","49 shares","100 comments","I am a 69-year-old retired Silicon Valley engineer. I retired in November 2021 just before I reached age 68. I am well off, but definitely not wealthy.
Only about 30–40% of my own and wife’s income is coming from social security, the rest is coming from 401K’s, IRA’s, pensions, and stocks. Plus, I no longer have a mortgage or any other significant debts. And, we are now living in a brand new custom-designed 2500 square foot Italian-villa style home on 1.2 acres in the Texas Hill country that we paid cash for from the sale of our California home in the Silicon Valley. The 500 square foot upstairs portion is an independent studio apartment with its own separate entrance, a full bathroom, and a kitchenette. We currently rent it out to local college students but it will be for our in-home care-giver when we are too old to take care of ourselves. Our annual income is only around $100,000 per year, (I made over twice that in the Silicon Valley), but we have no bills except utilities, groceries, property taxes, and supplemental healthcare insurance. Medicare is our primary coverage and it pays about 80% of outpatient care, the low-cost supplemental insurance pays the remainder.
I planned almost 20 years ahead for all this. I suggest you all do the same.
C’est la vie.","","",""
"Do you have to be rich to start a farm?","https://www.quora.com/Do-you-have-to-be-rich-to-start-a-farm","79.2K views","1.3K upvotes","4 shares","72 comments","Well yes, unless you are willed a farm from a relative. To be successful in farming and make a living, you need at least 3 thousand acres of farm ground and that’s dry land, so you will have to summer follow. The equipment is really expensive, then you have seed, fertilizer, fuel and chemicals and none of them are cheap. If you are operating on borrowed money then it can be tough, especially if Mother Nature doesn’t corporate. You will have good years and you will have bad years, it’s just part of it. I farm about 480 acres of irrigated corn and it cost me about $200 dollars per acre just to put it in the ground. I own a silage chopper and it cost $380 thousand dollars new, and I only use it for about 3 weeks out of the year.","","",""
"Which is more important knowledge or money?","https://www.quora.com/Which-is-more-important-knowledge-or-money","171.8K views","10.1K upvotes","96 shares","65 comments","Mike Tyson earned up to $30 million per fight at the peak of his career. Some estimate he made over $300 million throughout his career.
(Foto source, Google)
After living an extravagant lifestyle, in 2003 Mike filed for bankruptcy with over $27 million in debt.
So, to answer your question, is money greater than knowledge?
We may learn from multiple stories as the one above. Most of them will lead us to the same conclusion: people may possess generational fortunes but if they lack knowledge they will destroy their wealth.
On the other hand, with knowledge you can make money and most importantly keep it.","","",""
"How do you feel about the Todd and Julie Chrisley case and the outcome and prison sentences as “rich people”?","https://www.quora.com/How-do-you-feel-about-the-Todd-and-Julie-Chrisley-case-and-the-outcome-and-prison-sentences-as-rich-people","106.6K views","890 upvotes","3 shares","80 comments","Todd and Julie Chrisley are the protagonists in a USA Network show called Chrisley Knows Best.
The show follows the interactions of Todd and Julie, along with their kids, living their affluent lives.
My wife loved that show and thought they were hilarious.
I thought they were annoying, entitled jerks.
Ostensibly, Todd and Julie were successful real estate developers who lived a lavish lifestyle. That turned out not to be so true. What they were actually doing was inflating the value of their properties for loan purposes, using that money to finance their lifestyle, then getting other loans to pay off the debts. It was a Ponzi scheme with banks as the investors. Along the way, they developed and presented fake financial statements to inflate their net worth and income when it was convenient and deflate those numbers when the tax man came calling.
If all this sounds familiar, it should.
After being convicted of bank, tax, and wire fraud, Todd got 12 years in Federal prison, and his wife, Julie, got seven years. They each got 2 - 3 years of supervised release as well. Under federal rules, they will have to serve 85% of their sentences, so Todd will next breathe free air in 2034 and Julie in 2029. Those are appropriate, given the nature and scope of the crime.","","",""
"I've received three offers on a rental property I have for sale. My realtor says I can only counter one offer. Is that correct?","https://www.quora.com/Ive-received-three-offers-on-a-rental-property-I-have-for-sale-My-realtor-says-I-can-only-counter-one-offer-Is-that-correct","504.8K views","2.1K upvotes","8 shares","13 comments","I've received three offers on a rental property I have for sale. My realtor says I can only counter one offer. Is that correct?
You’ll need to check your state laws, but that is normally correct. It’s true here in Nevada.
In order to counter an offer, you must accept it subject to the terms of the counter offer. You cannot accept more than one offer, so you cannot counter more than one.
If you have multiple offers and don’t really like any of them, have your realtor contact their agents and ask for their “highest and best” offer, then accept one of those. Or you can reject them all and hope another, better offer comes along.","","",""
"What is a simple mistake people do that ruins their wealth?","https://www.quora.com/What-is-a-simple-mistake-people-do-that-ruins-their-wealth","426.6K views","6.5K upvotes","75 shares","235 comments","“It’s a very serious problem. I truly don’t know what we’re going to do,” my friend said to me last week during a lunch meeting.
My friend is going through a very difficult situation. His mother-in-law is declining rapidly in health, needs constant medical attention and has zero retirement money.
“Who’s going to pay for all these expenses?” my friend asked me. “Two of my wife’s siblings don’t have the money to cover these expenses. Now my wife expects me to pay these outrageous sums of money. That’s not fair! Why should I pay for everything?”
I looked at him. No response came to mind.
He then leaned forward and said to me in a low voice, “I mean, really … she’s not even my mother. They should pay her expenses as I will pay for my mother’s expenses!”
Incredible! Nobody likes to talk about this. Honestly, it’s painful!
We’re all living longer, (which is great in many ways,) but what happens when people don’t plan accordingly and do not have enough retirement savings to live for the next 20 or 30 years?
I know what I’m talking about. My dad just turned 90, and believe me, the expenses for taking proper care of both of my parents are staggering! Costs are skyrocketing!
We’re truly blessed that my father was very disciplined and planned accordingly for this season, but I’m very concerned for my friend’s mother-in-law, and millions of other aging parents who didn’t plan correctly for their retirement.
So, to answer your question, what is a simple mistake people do that ruins their wealth?
Not having enough savings for their retirement, can potentially ruin their kids’ financial future!","","",""
"Do children of poor parents start so far behind rich kids that it's almost impossible for them to catch up?","https://www.quora.com/Do-children-of-poor-parents-start-so-far-behind-rich-kids-that-its-almost-impossible-for-them-to-catch-up","18.2K views","126 upvotes","4 shares","16 comments","Think about it this way…
Poor Boy vs. Rich Boy
Poor Boy:
Household income is less than $40,000 USD. This is poverty level in my county.
He is a very talented musician. His parents can’t afford lessons to improve his skills. He resorts to watching YouTube and practices on a piece of crap, used instrument.
Struggles academically, parents can’t afford tutoring. Starts to feel that he is falling behind in everything. Anxiety increases from relentless stress.
No real after-school activities, like sports, until middle school and even those require quite a bit of money for equipment and other costs. Parents have rent to pay, frivolous after school programs are not realistic.
Rich boy:
Parents have combined income of $180,000. That makes you an upper class citizen in my area.
Very talented musician. Parents have a music teacher come twice a week for one hour each session. The child also has a special room in the house just for his music, filled with a computer desk, music stands, several instruments of the same type in case one breaks a string or whatever else. The room is nearly soundproof and has beautifully painted walls with music notes flying everywhere. There are recording devices attached to the computer so the child can practice and show his instructor that he did work.
Struggles academically. Parents hire a top-rated student to come and tutor the child. Child grows up, parents get him a specialized standardized testing teacher (ACT, SAT, etc) to prepare for the most important tests in their schooling life.
After school activities keep the child busy and away from home until 5–6pm everyday. Karate, sports clinics of all kinds, soccer, wrestling, fencing, boxing and whatever else. The parents can’t be home so he has to do these things.
Now… who do you think will get ahead most of the time? Of course, the child with stronger financial backing.
Hard work only gets you so far. What if you’re rich AND a hard worker? You’re only going to improve exponentially faster. There is no denying this.
Before you complain about my post, read these links. If you have information to debunk, feel free to share.
Money is better than intellect for predicting who will succeed in life
“Rich children of average intelligence are more likely to succeed in life than brilliant people born into poor families, according to a new genetic study that focuses on the intersection of genes and economics.”
“Ultimately, less than a quarter (24 percent) of high-potential people born to low-income fathers graduated from college, compared to 63 percent of those born to high-income fathers.”
https://www.usnews.com/news/education-news/articles/2018-05-28/income-inequality-exacerbates-the-achievement-gap
“By many measures, poor kids participated in fewer educationally enriching activities over the summer than middle class and wealthy kids. Only 7 percent of poor kids and 13 percent of ‘near’ poor kids (families of four living on an income of $22,000 to $44,000 a year) went to summer camp. Roughly 40 percent of non-poor kids – middle class and wealthy – attended summer camp. The poor were less likely to go on cultural outings. For example, only 32 percent of poor kids and 44 percent of ‘near’ poor kids went to an art gallery, a museum or a historical site over the summer. Almost two-thirds, or 63 percent of non-poor kids, did. Only 15 percent of poor kids attended a concert or a play. One third of non-poor kids did.”
https://www.independent.co.uk/news/uk/politics/pupils-rich-families-talented-poorer-children-education-secretary-justine-greening-equality-a7659346.html
“Lower-achieving pupils from rich families earn more than talented poorer children, the Education Secretary has admitted.”
https://www.psychologytoday.com/us/blog/freedom-learn/201709/mend-the-gap-between-rich-and-poor-in-school-achievement
“A few years ago, Sean Reardon (2012) of Stanford University published an analysis of the findings of many studies showing, over all, that the gap in achievement test scores between students from the richest 10% of families and the poorest 10% grew by 40 to 50 percent between the mid 1970s and the early 2000s.. The gap exists at all grade levels, but is much larger in the later years of schooling than in the early years. By the middle of high school, the average test scores for students from the bottom 10% in income are three to six grade levels (depending on the type of test) below those of students from the top 10% in income.”","","",""
